reading_id,sensor_id,value,unit,recorded_at,is_anomaly
131c85e7-e6e0-4988-a38b-22029841a139,e56f6a52-84cd-4c8e-934e-efcc29b132a8,14.0,°C,2016-05-31 18:48:58.486572,False
5b5cf2b0-ec3a-4a8b-81a5-063d8792984d,e4b1fbda-3d16-41a2-9d7b-1cfe02aa5b96,61.25,AQI,2020-12-10 21:55:40.795984,False
28cefb8f-a099-4cfd-8122-4e8e4159e96d,369fe5f4-266f-4ba8-8938-f57939cff35a,19.93,°C,2014-12-01 13:43:15.960762,False
38cdee21-8fd3-46bd-a984-80f754f19f6a,36c365f4-e29f-47d1-a0e4-758bb7abfc48,16.53,°C,2011-02-05 01:36:36.742784,False
7aac5512-ad34-4184-bcd8-a76f6a238429,1cb0104a-ebfe-4ccd-9fbb-6e08dc6be785,100.85,AQI,2017-06-12 09:14:57.486276,False
4bf31ee0-ed65-46c6-a522-7e56185cf9e3,310f040f-8f07-44fc-9e64-278ebce93a3e,20.79,°C,2022-07-15 15:00:01.730371,False
4ab3bd10-a099-4d63-8ebf-0857ca8d1cc5,c7a51234-93ca-4da1-ab91-22b8fe4ae689,101.56,AQI,2018-11-08 02:30:30.121638,False
ab3111e6-1c6e-4c31-8526-cdba2ad39a5e,0f2dd320-f4e4-48d5-aaa2-336692fc47e8,90.78,AQI,1998-06-20 21:08:16.724958,False
dcf456a0-6367-4693-a47f-cad218439e7e,e42e9e77-40a0-444a-93d6-fac4786ffd27,92.41,AQI,2017-04-04 18:02:03.313354,False
970901b0-1c13-4552-887d-69b73b654fb1,3730ae5f-1e3f-4a99-9af6-22b7bd32c8ea,67.25,%,2006-06-27 04:38:10.637374,False
850fc950-09b1-48e5-a88b-9dc5dc3077b8,dc43e9b9-bfb4-42be-a814-1af5127e3575,116.69,AQI,2003-08-15 16:49:30.041440,False
d3e6c894-5dea-4ad3-9b0f-250030fe4c88,563ae42f-1c4e-4e8f-9cff-2bea08573f88,79.78,AQI,1989-07-11 19:28:31.986306,False
10aa151e-3176-4382-94ba-983b268d802b,9675b7d8-a279-4066-bc06-7e91ec08a100,97.36,AQI,2020-07-16 22:25:15.355042,False
fb5d2510-b86e-45a5-9950-b41cf3dcd04a,bf708401-8982-4013-b76f-ebb2eb9a5c37,102.62,AQI,2021-03-11 21:23:34.954499,False
facddf90-af2f-4e17-b3df-671f42341bff,84bf581e-80d6-4777-b487-7594c0f5e52a,118.55,AQI,1991-09-12 01:02:15.409588,False
4f8ba93c-3dda-4f8a-bbe3-45dd385616b1,8e6ffc6f-0de5-47eb-954a-736eb291fcc1,99.37,AQI,2020-06-25 02:07:25.476292,False
9ed50098-c4b3-4803-83c4-058fee0606a1,1821a02b-8128-457b-974c-14ff620ca9ca,39.85,%,1985-09-08 07:53:34.244005,False
8798a27f-1287-4378-9884-a5620aa03290,3800ce3e-d3cf-4985-8df0-ea6e692272f9,70.05,AQI,2018-02-25 01:07:22.287730,False
9fa15efd-53e4-4042-ad96-9ccee10b2773,ed8c4a54-444e-4cac-a8ae-6758686c29ed,25.33,°C,2016-04-17 13:50:52.381788,True
7559837f-8468-4909-b78e-8c62a3e45995,9171d7fe-1503-42ad-8857-c5f410e09a85,122.21,AQI,2025-08-27 23:52:27.536013,False
